Song ID, Song Score, Song Tags...
l7sAbgj18Ig,0,None
4SmwGOlDuqM,0,None
g9ATdSzw9nE,0,None
-PILtAkBdrk,0,None
_3ZcY3LPhyw,0,None
4k59Ve_4xyY,0,None
-9oODi4hUMg,0,None
rbUpNvivjaQ,0,None
dNxxg3FM8Mc,0,None
RKW6rjnYEkc,0,None
oKK8ball0Rg,0,None
Z0gO5Irss7A,0,None
6DpNIql7uPk,0,None
uBWswnw_Ehk,0,None
GV5XUnvNXS0,0,None
2R1uAL4sJxk,0,None
RsOICYx-Jpc,0,None
pBb9GS5tzBA,0,None
A6X9GeP54Nw,0,None
pJwRo0SWoLE,0,None
pjlEAoNzpk4,0,None
zGl-npcJpEs,0,None
ewrNwKLu_nE,0,None
MQ7vI7cdYJY,0,None
4W28wWWxKuQ,0,None
T7Wff9xaqjc,-1,None
FnXabH2q2A0,0,None
TZULkgQPHt0,0,None
PSvYfVGyQfw,0,None
w2vz6JVWiPY,0,None
KDdvGZn6Gfs,0,None
XoLouT7TqZY,0,None
gbDAVrJXtv8,0,None
Pb6KyewC_Vg,0,None
N9vDTYZpqXM,0,None
fLnF-QnR1Zw,0,None
afwK743PL2Y,0,None
5Epc1Beme90,0,None
dtJE4j_RcjY,0,None
HeQGcCtk4bc,0,None
RaJ6Vf2w9hY,0,None
OPBECnDBiRQ,-1,None
BuPmq7yjDnI,0,None
zZ1L9JD6l0g,0,None
guBpnPY32s0,0,None
KrhNNBsUd58,0,None
XhL7qUwjiX0,0,None
SMhFTex19DU,0,None
6lTOgVLZsbw,0,None
H0s3Jf9u86k,0,None
YTsCbgoyNPU,0,None
hrr68ViBpqE,0,None
c-eCNAGUVQw,0,None
_baCfeSkjOs,0,None
RoGQVVXBbOA,0,None
7CJtN9ke8p0,0,None
3xmwkzI8T40,0,None
TaZnmE_cJ90,0,None
edwooGpMg8g,0,None
zYBhqgbelJ0,0,None
MhcD_CuFcOw,0,None
qLSooDsUqQE,0,None
JEexIgFkMjI,0,None
b50Gb3bPNI8,0,None
VsN7E35LpJE,0,None
f-PRMB1SsHM,0,None
jyvcg72-reA,0,None
R8ALe-nVzd8,0,None
VgzTfdzj_Ho,0,None
cDlGFbBipCo,0,None
EJ09pSuA9hw,0,None
oQrIbBqV2Ew,0,None
TGNJbrZnIJg,0,None
Ez-lX4YcohI,0,None
vxIOUJ7by6U,0,None
pRPOztxXWlQ,-1,None
zutIG-QNm6c,0,None
sf6LD2B_kDQ,0,None
0vJqrxGHooE,0,None
JGCsyshUU-A,0,None
inb8MMZ-QmA,0,None
bqtKpLUd3Ng,0,None
0dfZ9BXaNyE,0,None
mgUZPVh_l4A,0,None
aHjpOzsQ9YI,0,None
55_bV4ORRFM,0,None
EiyPRqP5glY,0,None
HZa1iFO0Juk,0,None
sRxrwjOtIag,0,None
ukvW7pccZJQ,0,None
4xcuKEwCDWg,0,None
c5meFtluB9Y,0,None
MOg8Cz9yfWg,0,None
FjgRMEAattA,0,None
EKkzbbLYPuI,0,None
AuJnvC8voJY,0,None
_oNpmSAvpGQ,0,None
mdkWFPrrZVQ,0,None
eht-pRJcunU,0,None
jg4sZZaf3Gg,0,None
YpRyJBoEiMg,0,None
XfTknZt2DHA,0,None
xyrnFRghCv4,0,None
