Song ID, Song Score
iYGTbrYi914,0
2LOmFBBq4T0,0
U9t-slLl30E,0
7dyxeG5x-vY,0
wuJIqmha2Hk,0
dX3k_QDnzHE,0
0T-if-Vj2Xs,0
EIuLBrHija4,0
OBwl2glmqC0,0
fyrK7CCF5yU,0
8D5iyKXZcUQ,0
DuMqFknYHBs,0
wy9r2qeouiQ,0
am7inxlBqZI,0
TOG0mCgzsMY,0
F0CaS4wuSzA,0
xPfMb50dsOk,0
e-ORhEE9VVg,0
K4DyBUG242c,0
4UfEnhnHGhI,0
w1o5sgoaEn8,0
p9QNldkFftU,0
vEKz-mpxyDs,0
hLKV5QzdDK8,0
StH2UflpcC4,0
zO2oC5khAqc,0
rwdM3MRAly4,0
#NAME?,0
7ya0fv1qx28,0
s-oQ08lJvys,0
QVh3eswewBs,0
3MwX5CHG6WE,0
YZk-nMQ1DkU,0
NZj8xUB21Ck,0
urad_EveZ6E,0
p6VoW20flHU,0
w0VvmB6ayBw,0
owdOTafPyKY,0
UvXjzPPQkJ0,0
EgdMVSCyNy8,0
XT9gRj1d66s,0
EdJkd_XpkFs,0
dhfsiLLvDUA,0
GTlFcuq_iw0,0
OuaD4wQd-jg,0
D22-W4TrIpA,0
PorE6bMsHuY,0
ecA8gTM9XPg,0
QmYHUc5kd4o,0
44eClZSTM9M,0
l7sAbgj18Ig,0
4SmwGOlDuqM,0
g9ATdSzw9nE,0
#NAME?,0
_3ZcY3LPhyw,0
4k59Ve_4xyY,0
-9oODi4hUMg,0
rbUpNvivjaQ,0
dNxxg3FM8Mc,0
RKW6rjnYEkc,0
oKK8ball0Rg,0
Z0gO5Irss7A,0
6DpNIql7uPk,0
uBWswnw_Ehk,0
GV5XUnvNXS0,0
2R1uAL4sJxk,0
RsOICYx-Jpc,0
pBb9GS5tzBA,0
A6X9GeP54Nw,0
pJwRo0SWoLE,0
pjlEAoNzpk4,0
zGl-npcJpEs,0
ewrNwKLu_nE,0
MQ7vI7cdYJY,0
4W28wWWxKuQ,0
T7Wff9xaqjc,-1
FnXabH2q2A0,0
TZULkgQPHt0,0
PSvYfVGyQfw,0
w2vz6JVWiPY,0
KDdvGZn6Gfs,0
XoLouT7TqZY,0
gbDAVrJXtv8,0
Pb6KyewC_Vg,0
N9vDTYZpqXM,0
